/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('left', 'green', None, None, None)
 -- forward : -0.32
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', 'left', 'forward')
 -- None : 0.00
 -- forward : -0.06
 -- right : 0.00
 -- left : 0.00

('forward', 'red', None, 'left', 'right')
 -- None : 1.72
 -- forward : 0.00
 -- right : 0.22
 -- left : 0.00

('left', 'red', None, 'right', 'right')
 -- None : 0.00
 -- forward : -7.40
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'forward', None, 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 1.49
 -- left : 0.00

('left', 'green', 'forward', None, 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 1.11
 -- left : 0.00

('right', 'red', None, None, None)
 -- None : 1.16
 -- forward : 0.00
 -- right : 1.45
 -- left : -9.99

('left', 'red', 'forward', 'left', None)
 -- None : 0.87
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', 'left', None, 'left')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -7.65

('left', 'red', None, 'forward', 'left')
 -- None : 1.57
 -- forward : -29.31
 -- right : 0.00
 -- left : 0.00

('right', 'green', None, None, 'right')
 -- None : 0.00
 -- forward : -0.07
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, 'right', None)
 -- None : 0.00
 -- forward : 0.00
 -- right : 1.78
 -- left : 0.00

('right', 'red', 'forward', 'forward', 'forward')
 -- None : 1.11
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('forward', 'green', 'right', None, 'left')
 -- None : -3.80
 -- forward : 0.00
 -- right : 0.00
 -- left : -15.40

('left', 'green', 'forward', None, 'left')
 -- None : 0.00
 -- forward : 0.00
 -- right : -0.15
 -- left : -14.89

('forward', 'green', None, None, 'forward')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.69

('forward', 'green', None, 'right', 'forward')
 -- None : 0.00
 -- forward : 0.00
 -- right : -0.11
 -- left : 0.00

('forward', 'red', 'forward', None, 'forward')
 -- None : 0.00
 -- forward : -29.90
 -- right : 0.00
 -- left : 0.00

('left', 'red', None, 'left', 'forward')
 -- None : 1.39
 -- forward : -29.61
 -- right : 0.00
 -- left : -29.96

('left', 'red', None, None, 'forward')
 -- None : 0.00
 -- forward : -30.14
 -- right : -14.64
 -- left : -37.81

('left', 'green', 'left', None, None)
 -- None : 0.93
 -- forward : 0.97
 -- right : 0.00
 -- left : 0.56

('left', 'red', 'forward', None, 'right')
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.29
 -- left : 0.00

('forward', 'green', None, 'right', None)
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.84

('left', 'red', None, 'left', None)
 -- None : 0.00
 -- forward : 0.00
 -- right : 0.00
 -- left : -7.53

('right', 'red', 'left', 'forward', None)
 -- None : 0.45
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'red', None, 'forward', 'left')
 -- None : 1.08
 -- forward : 0.00
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', 'left', 'left')
 -- None : 0.00
 -- forward : 0.67
 -- right : 0.00
 -- left : 0.00

('right', 'green', 'left', 'left', None)
 -- None : 0.00
 -- forward : 0.00
 -- right : 1.70
 -- left : 0.00

('forward', 'green', 'forward', None, None)
 -- None : -3.74
 -- forward : 0.83
 -- right : 0.42
 -- left : -14.96

('left', 'green', None, 'right', None)
 -- None : 0.00
 -- forward : 0.12
 -- right : 1.27
 -- left : 1.68

('right', 'green', 'left', 'right', None)
 -- None : 0.00
